Scenario,Variable,Region,Unit,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
historical,C2F6,World,ppt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72E-08,5.95E-07,3.01E-06,9.52E-06,2.33E-05,4.82E-05,8.93E-05,0.000152388,0.000244096,0.00037204,0.00048,0.0007725,0.001095,0.001455,0.0019125,0.0025225,0.0033175,0.00405,0.005028171,0.00666634,0.00854701,0.01063768,0.01310585,0.015719021,0.018567191,0.022242861,0.02680853,0.031619199,0.03618237,0.040613037,0.043763708,0.046229381,0.050632551,0.056613218,0.062956393,0.069594562,0.076920234,0.085318401,0.094561569,0.103577241,0.110967904,0.115896076,0.119641751,0.124067418,0.130665585,0.140206262,0.152674437,0.167535096,0.184770763,0.203516439,0.225184619,0.253225297,0.289625943,0.324351609,0.342382282,0.35107547,0.36315614,0.378196806,0.392579973,0.406145632,0.420336306,0.434674472,0.448852658,0.462660819,0.47537148,0.486724645,0.496250331,0.504270971,0.51200664,0.519807339,0.527253032,0.534526169,0.541906834,0.549805045,0.558485687,0.568188846,0.57970953,0.593527675,0.610953391,0.633396566,0.661767244,0.697540402,0.743053555,0.800414205,0.861579895,0.921930552,0.988958716,1.0618819,1.138115048,1.220858216,1.305443883,1.380354524,1.450145245,1.529635906,1.613796592,1.69694972,1.785000443,1.879161119,1.975539207,2.070580006,2.16130805,2.246648788,2.330559492,2.416545153,2.508760691,2.61153388,2.726182222,2.849830389,2.978515863,3.105934143,3.227072239,3.344505548,3.459131241,3.566626787,3.665975094,3.761820555,3.854946375,3.941624403,4.015971661,4.090900898,4.170527935,4.246371269,4.327632427,4.434018135,4.512550831,4.595964909,4.674004078,4.782956123,4.883347034,4.990927696,5.03831768,5.149313927
historical,C3F8,World,ppt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59E-08,8.07E-08,2.55E-07,6.23E-07,1.29E-06,2.39E-06,4.08E-06,6.54E-06,9.96E-06,1.25E-05,2.00E-05,3.00E-05,4.25E-05,5.50E-05,7.25E-05,9.77E-05,0.000117891,0.000143086,0.000185782,0.000238477,0.000298672,0.000366368,0.000439063,0.000519259,0.000621954,0.000749649,0.000884845,0.00101254,0.001137736,0.001227931,0.001295627,0.001418322,0.001588517,0.001768713,0.001956408,0.002164104,0.002404299,0.002671994,0.00293219,0.003144885,0.00329008,0.003400276,0.003530471,0.003728167,0.004015862,0.004396058,0.004856253,0.005398948,0.005996644,0.006701839,0.007637035,0.00888473,0.010107425,0.01076762,0.011107816,0.011585511,0.012200707,0.012818403,0.013433598,0.014113793,0.014846489,0.015624184,0.016434379,0.017237075,0.01800227,0.018674966,0.019260161,0.019827856,0.020383053,0.020888247,0.021353442,0.021791138,0.022223834,0.02267403,0.023156725,0.02370692,0.024342116,0.02511231,0.026060006,0.027202701,0.028595397,0.030348092,0.032670788,0.035343483,0.03825368,0.041728873,0.04578907,0.050609265,0.056534462,0.063107155,0.069234848,0.075025044,0.081340238,0.087657936,0.093420632,0.09922833,0.105863526,0.112901218,0.119773917,0.126806617,0.134386808,0.143247008,0.154307202,0.168527395,0.186432585,0.20792529,0.232522979,0.259635687,0.288700879,0.318986058,0.349663764,0.379928946,0.409064144,0.436484337,0.461564541,0.482094735,0.504414558,0.51796025,0.538941443,0.557497025,0.572638631,0.589184284,0.603367865,0.620226204,0.63523972,0.64934504,0.665600061,0.68605262,0.706004441,0.722504795,0.739862919
historical,C4F10,World,ppt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63E-06,4.04E-06,6.51E-06,8.98E-06,1.14E-05,1.39E-05,1.64E-05,1.89E-05,2.13E-05,2.38E-05,2.63E-05,2.87E-05,3.12E-05,3.37E-05,3.61E-05,3.86E-05,4.11E-05,4.35E-05,4.60E-05,4.85E-05,5.09E-05,5.34E-05,5.58E-05,5.83E-05,6.08E-05,6.32E-05,6.57E-05,6.81E-05,7.06E-05,7.31E-05,7.55E-05,7.80E-05,8.04E-05,8.29E-05,8.53E-05,8.78E-05,0.000897534,0.002429733,0.004386542,0.006638718,0.009065909,0.011703449,0.014585656,0.017713897,0.021089032,0.024866853,0.02909456,0.033604044,0.038317408,0.043230705,0.048342656,0.05365302,0.059161756,0.064868897,0.070774525,0.076932892,0.083344564,0.089971967,0.09677805,0.103707016,0.110690862,0.117704086,0.124743611,0.131804854,0.138825327,0.145658001,0.151858777,0.15713504,0.161586404,0.165290773,0.168380752,0.171148553,0.173723981,0.176156014,0.178493291,0.180773184,0.183018968,0.185252726,0.187484875,0.189717621,0.191950172,0.194181249,0.196412921,0.198642924,0.200872913,0.203102916,0.20533292,0.207562923,0.209792912
historical,C5F12,World,ppt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35E-06,3.34E-06,5.38E-06,7.42E-06,9.46E-06,1.15E-05,1.35E-05,1.56E-05,1.76E-05,1.97E-05,2.17E-05,2.37E-05,2.58E-05,2.78E-05,2.99E-05,3.19E-05,3.39E-05,3.60E-05,3.80E-05,4.00E-05,4.21E-05,4.41E-05,4.61E-05,4.82E-05,5.02E-05,5.22E-05,0.000145191,0.000351239,0.000646936,0.001024936,0.001498109,0.00205957,0.002716434,0.003474971,0.004348787,0.005344644,0.006462788,0.007689987,0.009032963,0.01049788,0.012098326,0.013827774,0.015693339,0.017687572,0.019857954,0.022230674,0.024806606,0.027586374,0.030569989,0.033757403,0.037148517,0.040873609,0.04497353,0.049367256,0.054019049,0.058926702,0.064089753,0.069507688,0.075188376,0.081173934,0.08740963,0.093829103,0.100263968,0.106281891,0.111536086,0.116194002,0.120371014,0.124063216,0.127277493,0.129927933,0.132032022,0.133757472,0.135304958,0.136745751,0.138079271,0.139312446,0.140483007,0.141624659,0.142756552,0.14388977,0.145023406,0.146154538,0.147284836,0.148416206,0.149546742,0.150677279,0.151807815,0.152938351,0.154068887
historical,C6F14,World,ppt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15E-06,2.85E-06,4.58E-06,6.32E-06,8.06E-06,9.80E-06,1.15E-05,1.33E-05,1.50E-05,1.68E-05,1.85E-05,2.02E-05,2.20E-05,2.37E-05,2.54E-05,2.72E-05,2.89E-05,3.07E-05,3.24E-05,3.41E-05,3.59E-05,3.76E-05,3.93E-05,4.11E-05,4.28E-05,4.45E-05,4.63E-05,4.80E-05,4.97E-05,5.14E-05,5.32E-05,0.000145287,0.000282065,0.000421314,0.000561102,0.000762292,0.001107691,0.001624967,0.002315827,0.003180726,0.004241994,0.00548829,0.006909062,0.008788691,0.011240301,0.013909901,0.016648289,0.019423353,0.022222223,0.025052333,0.027916463,0.030842863,0.033795085,0.036748137,0.039700888,0.042652883,0.045604076,0.048554644,0.051504638,0.054454096,0.058313824,0.072875619,0.093097255,0.113998905,0.131503388,0.144452408,0.153829947,0.161219493,0.167688712,0.173588529,0.179099351,0.184274822,0.189045027,0.193385273,0.197299004,0.20084317,0.204047263,0.206914485,0.209549055,0.212012246,0.214416698,0.21681717,0.219217181,0.221615806,0.224015206,0.226414621,0.228814036,0.23121345,0.23361285
historical,C7F16,World,ppt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-06,2.49E-06,3.99E-06,5.51E-06,7.03E-06,8.54E-06,1.01E-05,1.16E-05,1.31E-05,1.46E-05,1.61E-05,1.76E-05,1.91E-05,2.07E-05,2.22E-05,2.37E-05,2.52E-05,2.67E-05,2.82E-05,2.97E-05,3.12E-05,0.000130986,0.000378514,0.000876224,0.001475317,0.002080436,0.002686772,0.0032931,0.003911206,0.004572782,0.005277961,0.005996353,0.006715539,0.007434743,0.008153758,0.008872646,0.009591289,0.010309907,0.011028265,0.011746539,0.012464593,0.013182534,0.013900141,0.014617612,0.015335053,0.01605219,0.016769351,0.017759182,0.019131558,0.020832587,0.022838233,0.025370512,0.028117664,0.030877315,0.033639129,0.036400601,0.039161485,0.041921664,0.044681225,0.047440037,0.050198365,0.052956074,0.055713065,0.058469445,0.061225209,0.063980229,0.066734776,0.06948854,0.072241671,0.074994236,0.077746376,0.080497503,0.083248012,0.085998148,0.088747442,0.091496214,0.094244249,0.096991882,0.099738218,0.102484502,0.105230257,0.107975259,0.110719666,0.113463596,0.116205797,0.118948005,0.121690206,0.124432415,0.127174616
historical,C8F18,World,ppt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08E-05,0.000190599,0.000428484,0.000720487,0.001058281,0.001435363,0.001846186,0.002300143,0.002788735,0.003296888,0.003817783,0.004344617,0.004870567,0.005388822,0.005892572,0.006382812,0.006901409,0.007240498,0.0072405,0.0077454,0.008102532,0.009501247,0.011000001,0.0135,0.016000001,0.018999999,0.022000002,0.026000001,0.029999999,0.034499999,0.039000001,0.043499999,0.048,0.052999999,0.057999998,0.0625,0.067000002,0.071000002,0.074500002,0.077,0.079999998,0.081500001,0.083499998,0.085000001,0.086000003,0.086999997,0.088,0.089000002,0.090000004,0.090999998,0.092235625,0.093509503,0.0947304,0.096072704,0.097412601,0.098749302,0.100083999,0.101415999
historical,c-C4F8,World,ppt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94E-06,4.81E-06,7.74E-06,1.07E-05,1.36E-05,1.66E-05,1.95E-05,2.24E-05,2.54E-05,2.83E-05,3.13E-05,3.42E-05,3.71E-05,4.01E-05,4.30E-05,4.59E-05,4.89E-05,5.18E-05,5.47E-05,0.001018322,0.003804049,0.008437146,0.014453779,0.021468101,0.029181277,0.037297219,0.0457136,0.054424159,0.063427128,0.072914965,0.082983144,0.093635537,0.105066806,0.117757201,0.131900907,0.147511721,0.164589792,0.183137134,0.203149483,0.224630401,0.247194469,0.270455241,0.294501454,0.319614798,0.345889628,0.373043001,0.401128888,0.43072015,0.462436318,0.496675104,0.534285843,0.576007187,0.622995734,0.668152452,0.706816673,0.73831439,0.763521194,0.782899082,0.797418952,0.809450388,0.820904672,0.833301604,0.84723407,0.862772048,0.879924059,0.898690641,0.919072926,0.941069365,0.96468097,0.990091622,1.017222881,1.04597342,1.076320171,1.108285546,1.141881704,1.177061319,1.213860512,1.252281308,1.292294145,1.334410191,1.37924397,1.426980376,1.477833271,1.53210175,1.589601517,1.647101283,1.704601049,1.762100935,1.819600701
historical,CCl4,World,ppt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012357995,0.049439516,0.111267373,0.197879568,0.309329301,0.44568494,0.607030094,0.793463588,1.005099297,1.242066622,1.504509687,1.792588234,2.106477022,2.446365833,2.812460184,3.204980373,3.62416172,4.07025528,4.543526649,5.044257641,5.572743893,6.129297733,6.714245319,7.327928543,7.970705032,8.642947197,9.345042229,10.07739258,10.84041691,11.63454723,12.46023369,13.3179388,14.20814133,15.13133526,16.08802986,17.0787487,18.10403252,19.16443634,20.26052666,21.39289284,22.56213379,23.76886559,25.01371765,26.29733658,27.62038231,28.98353195,30.38747978,31.8329277,33.32060242,34.85123444,36.42558289,38.04441452,39.70850754,41.41866302,43.18999863,44.95500183,46.84500122,48.85499954,50.98500061,53.22499847,55.57500076,58.01499939,60.51499939,63.07500076,65.61499786,68.05999756,70.41500092,72.68000031,74.86000061,76.95999908,78.98000336,80.91999817,82.78500366,84.58499908,86.31999969,87.98500061,89.58499908,90.95999908,92.39499664,94.00499725,95.36000061,96.52500153,97.73000336,99,100.3249969,101.8199997,103.1650009,104.3150024,105.5049973,106.1299973,105.9850006,105.534996,104.8499985,104.0650024,103.2350006,102.2549973,101.2600021,100.2549973,99.14499664,98.06999969,97.08000183,96.06999969,95.08999634,94.14499664,93.16500092,92.07499695,90.94000244,89.72499847,88.5,87.35500336,86.19499969,85.08499908,84.01499939,82.93000031,81.77500153,80.64499664,79.67500305,78.80000305,77.82499695,76.875,76.04000092,75.12000275
